FFD Points: X, Y, Z
0.109140028189, 0.902503919035, 3.26785638425e-05
0.137933209292, 0.0521436800325, 0.0
0.137924450612, 0.93452342488, 3.26785638425e-05
0.166829368531, 0.055020820243, 0.0
0.166820869919, 0.958499193705, 3.26785638425e-05
0.195792585172, 0.0571241199667, 0.0
0.195784347231, 0.976026399282, 3.26785638425e-05
0.224795319954, 0.0585847123383, 0.0
0.22478734304, 0.988197799522, 3.26785638425e-05
0.253820400768, 0.0594993980279, 0.0
0.253812685083, 0.995820053232, 3.26785638425e-05
0.282856509797, 0.0599424834811, 0.0
0.282849055439, 0.999512370469, 3.26785638425e-05
0.311895983458, 0.0599729191065, 0.0
0.311888790457, 0.999765996454, 3.26785638425e-05
0.340933557591, 0.0596393947705, 0.0
0.34092662593, 0.99698667331, 3.26785638425e-05
0.369965605724, 0.0589820305552, 0.0
0.369958935354, 0.991508729481, 3.26785638425e-05
0.398989664257, 0.0580354722256, 0.0
0.398983255107, 0.983620874865, 3.26785638425e-05
0.428004025795, 0.056828747805, 0.0
0.427997877776, 0.973565005624, 3.26785638425e-05
0.00276163745255, 0.00915101617854, 0.0
0.00275166221751, 0.576257197201, 3.26785638425e-05
0.00911176913453, 0.0162981455267, 0.0
0.00910185105119, 0.635815615795, 3.26785638425e-05
0.0169103557389, 0.0218271938865, 0.0
0.0169005078435, 0.681890250883, 3.26785638425e-05
0.0253507114985, 0.0263138096431, 0.0
0.025340939567, 0.719278092391, 3.26785638425e-05
0.986143032742, 0.00199609121041, 0.0
0.986141908019, 0.51663381619, 3.26785638425e-05
0.994061903502, 0.00085965560594, 0.0
0.994060850049, 0.507163677322, 3.26785638425e-05
0.99802073788, 0.00028726555753, 0.0
0.998019720057, 0.502393839749, 3.26785638425e-05
0.457007698783, 0.0553869095297, 0.0
0.457001811799, 0.961549886916, 3.26785638425e-05
0.492658207204, 0.0533234072727, 0.0
0.492652641078, 0.944354321367, 3.26785638425e-05
0.528290851401, 0.0509715016977, 0.0
0.528285605972, 0.924755434891, 3.26785638425e-05
0.563905394868, 0.0483597808047, 0.0
0.563900469972, 0.902991456848, 3.26785638425e-05
0.599501826065, 0.0455118204384, 0.0
0.59949722154, 0.879258849339, 3.26785638425e-05
0.635080218359, 0.0424467276033, 0.0
0.635075934042, 0.853716834747, 3.26785638425e-05
0.670640589099, 0.0391795173308, 0.0
0.670636624829, 0.826490536247, 3.26785638425e-05
0.706182941088, 0.0357214821486, 0.0
0.706179296702, 0.797674056671, 3.26785638425e-05
0.741707009473, 0.0320804166869, 0.0
0.741703684806, 0.767332350185, 3.26785638425e-05
0.777212329758, 0.0282608586319, 0.0
0.777209324642, 0.735503230212, 3.26785638425e-05
0.812698156178, 0.0242642456186, 0.0
0.812695470437, 0.702198676844, 3.26785638425e-05
0.848163413684, 0.0200890447519, 0.0
0.848161047133, 0.667405916167, 3.26785638425e-05
0.883606655698, 0.0157309043419, 0.0
0.883604608139, 0.631088684705, 3.26785638425e-05
0.919026015522, 0.0111827462649, 0.0
0.919024286741, 0.593187999074, 3.26785638425e-05
0.952597553457, 0.00668446323028, 0.0
0.952596126822, 0.55570293187, 3.26785638425e-05
0.969373720245, 0.00436478538831, 0.0
0.969372444597, 0.536372605359, 3.26785638425e-05
0.977759242189, 0.0031865701777, 0.0
0.977758042011, 0.526554308909, 3.26785638425e-05
0.456658909525, 0.0135136564337, 3.0537311677
0.456653019402, 0.612611926748, 0.997948167777
0.456541269019, 0.0262136108397, 3.04881851632
0.456535377837, 0.718443116278, 0.996342783861
0.456250599042, 0.0373352105889, 3.04096589745
0.456244705245, 0.811121569548, 0.99377666079
